date,city,product,category,quantity,price,total,sales_rep
2024-01-01,北京,产品A,电子,10,99.9,999.0,张伟
2024-01-01,上海,产品B,服装,5,199.0,995.0,李娜
2024-01-02,北京,产品A,电子,8,99.9,799.2,张伟
2024-01-02,广州,产品C,食品,12,49.5,594.0,王芳
2024-01-03,上海,产品B,服装,3,199.0,597.0,李娜
2024-01-03,北京,产品A,电子,10,99.9,999.0,赵磊
2024-01-04,广州,产品C,食品,7,49.5,346.5,王芳
2024-01-04,深圳,产品D,数码,15,299.0,4485.0,刘洋
2024-01-05,北京,产品B,服装,6,199.0,1194.0,张伟
2024-01-05,上海,产品A,电子,9,99.9,899.1,李娜
2024-01-06,成都,产品D,数码,4,299.0,1196.0,陈静
2024-01-06,广州,产品A,电子,11,99.9,1098.9,王芳
2024-01-07,深圳,产品B,服装,8,199.0,1592.0,刘洋
2024-01-07,北京,产品C,食品,6,49.5,297.0,赵磊
2024-01-08,上海,产品D,数码,3,299.0,897.0,李娜
2024-01-08,成都,产品A,电子,7,99.9,699.3,陈静
2024-01-09,广州,产品B,服装,9,199.0,1791.0,王芳
2024-01-09,深圳,产品C,食品,14,49.5,693.0,刘洋
2024-01-10,北京,产品D,数码,2,299.0,598.0,张伟
2024-01-10,上海,产品C,食品,8,49.5,396.0,李娜
2024-01-11,成都,产品B,服装,5,199.0,995.0,陈静
2024-01-11,广州,产品D,数码,6,299.0,1794.0,王芳
2024-01-12,深圳,产品A,电子,12,99.9,1198.8,刘洋
2024-01-12,北京,产品B,服装,7,199.0,1393.0,赵磊
2024-01-13,上海,产品C,食品,10,49.5,495.0,李娜
2024-01-13,成都,产品A,电子,8,99.9,799.2,陈静
2024-01-14,广州,产品B,服装,4,199.0,796.0,王芳
2024-01-14,深圳,产品D,数码,11,299.0,3289.0,刘洋
2024-01-15,北京,产品C,食品,9,49.5,445.5,张伟
2024-01-15,上海,产品D,数码,5,299.0,1495.0,李娜
